case,input,custom_128_hex,sha256_hex
empty_string,,33dbe05fbecc940e0882aa764b33f1fd,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
short_hello,hello,fcde9ce1f87c65828dab6bb5c98a346d,2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824
short_hello_cap,Hello,27163a15f9311eb616c18a1377f1ef35,185f8db32271fe25f561a6fc938b2e264306ec304eda518007d1764826381969
hello_space,hello ,a1d45ba3ec59e5efd214ed3909ee622a,5e3235a8346e5a4585f8c58562f5052b8fe26a3bb122e1e96c76784964dfc461
hello_extra,hello!,4a4c2d107993ea595fc9ff7cc88b9208,ce06092fb948d9ffac7d1a376e404b26b7575bcc11ee05a4615fef4fec3a308b
long_text,The quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dogThe quick brown fox jumps over the lazy dog,b7459f80e94d03345240f92ee6b4b92c,eea118feba9cc4047c807c943500a3d62e7d342e322623182e4490f605b2ce3a
single_char_a,a,db7e0fbb16994c49b50f93db900664df,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb
single_char_b,b,fec1548b2865722ede59bee4d0a7bd5b,3e23e8160039594a33894f6564e1b1348bbd7a0088d42c4acb73eeaed59c009d
incremental1,password1,13b50c440abd3110ee5b5c62a1633399,0b14d501a594442a01c6859541bcb3e8164d183d32937b851835442f69d5c94e
incremental2,password2,d1a1eb4613aeda794ce43300c68b1154,6cf615d5bcaac778352a8f1f3360d23f02f34ec182e259897fd6ce485d7870d4
similar1,This is a test.,5c21d241eabcb733456ba6cfcdaf818d,a8a2f6ebe286697c527eb35a58b5539532e9b3ae3b64d4eb0a46fb657b41562c
similar2,This is a test!,531c7e078b8d89fc31eec3826e745abd,54ba1fdce5a89e0d3eee6e4c587497833bc38c3586ff02057dd6451fd2d6b640
